time,Import kWh,Export kWh
2024-01-01 00:00,2159.975,0.000
2024-01-01 00:15,2159.977,0.000
2024-01-01 00:30,2159.978,0.000
2024-01-01 00:45,2159.980,0.000
2024-01-01 01:00,2159.981,0.000
2024-01-01 01:15,2159.983,0.000
2024-01-01 01:30,2159.984,0.000
2024-01-01 01:45,2159.986,0.000
2024-01-01 02:00,2159.987,0.000
2024-01-01 02:15,2159.989,0.000
2024-01-01 02:30,2159.990,0.000
2024-01-01 02:45,2159.992,0.000
2024-01-01 03:00,2159.993,0.000
2024-01-01 03:15,2159.995,0.000
2024-01-01 03:30,2159.996,0.000
2024-01-01 03:45,2159.998,0.000
2024-01-01 04:00,2159.999,0.000
2024-01-01 04:15,2160.001,0.000
2024-01-01 04:30,2160.002,0.000
2024-01-01 04:45,2160.004,0.000
2024-01-01 05:00,2160.384,0.000
2024-01-01 05:15,2161.162,0.000
2024-01-01 05:30,2161.609,0.000
2024-01-01 05:45,2161.788,0.000
2024-01-01 06:00,2162.015,0.000
2024-01-01 06:15,2162.253,0.000
2024-01-01 06:30,2162.487,0.000
2024-01-01 06:45,2162.709,0.000
2024-01-01 07:00,2162.939,0.000
2024-01-01 07:15,2163.159,0.000
2024-01-01 07:30,2163.387,0.000
2024-01-01 07:45,2163.607,0.000
2024-01-01 08:00,2163.838,0.000
2024-01-01 08:15,2164.077,0.000
2024-01-01 08:30,2164.286,0.000
2024-01-01 08:45,2164.507,0.000
2024-01-01 09:00,2164.672,0.000
2024-01-01 09:15,2164.677,0.000
2024-01-01 09:30,2164.680,0.000
2024-01-01 09:45,2164.682,0.000
2024-01-01 10:00,2164.685,0.000
2024-01-01 10:15,2164.708,0.000
2024-01-01 10:30,2165.281,0.000
2024-01-01 10:45,2165.798,0.000
2024-01-01 11:00,2165.979,0.000
2024-01-01 11:15,2166.190,0.000
2024-01-01 11:30,2166.417,0.000
2024-01-01 11:45,2166.648,0.000
2024-01-01 12:00,2166.816,0.000
2024-01-01 12:15,2166.819,0.000
2024-01-01 12:30,2166.822,0.000
2024-01-01 12:45,2166.825,0.000
2024-01-01 13:00,2166.827,0.000
2024-01-01 13:15,2166.830,0.000
2024-01-01 13:30,2166.832,0.000
2024-01-01 13:45,2167.063,0.000
2024-01-01 14:00,2167.772,0.000
2024-01-01 14:15,2168.037,0.000
2024-01-01 14:30,2168.167,0.000
2024-01-01 14:45,2168.170,0.000
2024-01-01 15:00,2168.173,0.000
2024-01-01 15:15,2168.175,0.000
2024-01-01 15:30,2168.178,0.000
2024-01-01 15:45,2168.369,0.000
2024-01-01 16:00,2168.970,0.000
2024-01-01 16:15,2169.227,0.000
2024-01-01 16:30,2169.398,0.000
2024-01-01 16:45,2169.634,0.000
2024-01-01 17:00,2169.882,0.000
2024-01-01 17:15,2170.128,0.000
2024-01-01 17:30,2170.364,0.000
2024-01-01 17:45,2170.608,0.000
2024-01-01 18:00,2170.872,0.000
2024-01-01 18:15,2171.125,0.000
2024-01-01 18:30,2171.375,0.000
2024-01-01 18:45,2171.666,0.000
2024-01-01 19:00,2171.866,0.000
2024-01-01 19:15,2171.871,0.000
2024-01-01 19:30,2171.873,0.000
2024-01-01 19:45,2171.876,0.000
2024-01-01 20:00,2171.878,0.000
2024-01-01 20:15,2171.881,0.000
2024-01-01 20:30,2171.884,0.000
2024-01-01 20:45,2171.887,0.000
2024-01-01 21:00,2171.889,0.000
2024-01-01 21:15,2171.892,0.000
2024-01-01 21:30,2171.895,0.000
2024-01-01 21:45,2171.898,0.000
2024-01-01 22:00,2171.900,0.000
2024-01-01 22:15,2171.902,0.000
2024-01-01 22:30,2171.903,0.000
2024-01-01 22:45,2171.905,0.000
2024-01-01 23:00,2171.906,0.000
2024-01-01 23:15,2171.908,0.000
2024-01-01 23:30,2171.909,0.000
2024-01-01 23:45,2171.911,0.000
2024-01-02 00:00,2171.912,0.000
2024-01-02 00:15,2171.914,0.000
2024-01-02 00:30,2171.915,0.000
2024-01-02 00:45,2171.917,0.000
2024-01-02 01:00,2171.918,0.000
2024-01-02 01:15,2171.920,0.000
2024-01-02 01:30,2171.921,0.000
2024-01-02 01:45,2171.922,0.000
2024-01-02 02:00,2171.924,0.000
2024-01-02 02:15,2171.925,0.000
2024-01-02 02:30,2171.927,0.000
2024-01-02 02:45,2171.928,0.000
2024-01-02 03:00,2171.930,0.000
2024-01-02 03:15,2171.931,0.000
2024-01-02 03:30,2171.933,0.000
2024-01-02 03:45,2172.451,0.000
2024-01-02 04:00,2173.225,0.000
2024-01-02 04:15,2173.555,0.000
